id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
6637,Axelay,1992-09-11,7.84,https://www.mobygames.com/game/6637/axelay/,"SNES, Wii, Wii U","Action, Sci-fi / futuristic, Side view, Shooter, Anime / Manga, Diagonal-down, 2D scrolling, Space flight","Konami Co., Ltd.","Konami Digital Entertainment Co., Ltd., Konami Deutschland GmbH, Konami Co., Ltd., Konami Digital Entertainment, Inc., Konami, Inc."
373,Earthworm Jim 2,1995-11,7.79,https://www.mobygames.com/game/373/earthworm-jim-2/,"Linux, Windows, PlayStation, Game Boy Advance, SNES, Genesis, SEGA Saturn, Macintosh, Wii, Browser, Nintendo Switch, Antstream","Action, Sci-fi / futuristic, Side view, Platform, Comedy, 2D scrolling","Shiny Entertainment, Inc.","TAKARA Co., Ltd., Interplay Productions, Inc., Majesco Sales, Inc., Interplay Entertainment Corp., Virgin Interactive Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A., Playmates Interactive Entertainment, Inc., Vivendi Universal Games, Inc., Virgin Interactive Entertainment (Europe) Ltd."
6610,Super Star Wars,1992-06-01,7.6,https://www.mobygames.com/game/6610/super-star-wars/,"SNES, Wii, PS Vita, PlayStation 4, Antstream","Action, 1st-person, Sci-fi / futuristic, Side view, Licensed, Behind view, 2D scrolling, Space flight","LucasArts Entertainment Company LLC, LucasArts, Sculptured Software, Inc.","Nintendo of America Inc., JVC Musical Industries Europe, Ltd., JVC Musical Industries, Inc., Disney Interactive Studios, Inc., LucasArts Entertainment Company LLC, LucasArts, Victor Musical Industries, Inc."
10859,Shin Megami Tensei,1992-10-30,7.45,https://www.mobygames.com/game/10859/shin-megami-tensei/,"SNES, SEGA CD, TurboGrafx CD, Wii, Wii U, Nintendo Switch","1st-person, Role-playing (RPG), Post-apocalyptic, Cyberpunk / dark sci-fi, Turn-based, Fixed / flip-screen, Direct control","Atlus Co., Ltd.","Nintendo Co., Ltd., SIMS Co., Ltd., Atlus Co., Ltd., Index Corporation"
13449,Knights of the Round,1991,7.16,https://www.mobygames.com/game/13449/knights-of-the-round/,"SNES, Arcade","Action, Side view, Fantasy, Beat 'em up / brawler, 2D scrolling, Europe","Capcom Co., Ltd.","Capcom Co., Ltd."
43932,Disney's Aladdin,1993-11-26,7.27,https://www.mobygames.com/game/43932/disneys-aladdin/,"Game Boy Advance, SNES","Action, Side view, Platform, Licensed, 2D scrolling, Middle East","Capcom Co., Ltd.","Capcom Co., Ltd., Walt Disney Computer Software, Inc."
14676,Stunt Race FX,1994-06-04,7.3,https://www.mobygames.com/game/14676/stunt-race-fx/,"SNES, Nintendo Switch","Racing / Driving, 1st-person, Arcade, Behind view, Vehicle simulator, Automobile, Track racing",Nintendo EAD,"Nintendo of America Inc., Playtronic Industrial Ltda., Nintendo Co., Ltd."
6595,Mario Paint,1992-07-14,7.29,https://www.mobygames.com/game/6595/mario-paint/,SNES,"Educational, Music, Graphics / art","Nintendo Co., Ltd.","Nintendo Co., Ltd."
5601,Breath of Fire,1993-04-03,7.23,https://www.mobygames.com/game/5601/breath-of-fire/,"Game Boy Advance, SNES, Browser, Wii U, New Nintendo 3DS, Nintendo Switch","Top-down, Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Japanese-style RPG (JRPG)","Capcom Co., Ltd.","Ubi Soft Entertainment Software, Nintendo Co., Ltd., Square Soft, Inc., Capcom Co., Ltd."
10010,E.V.O.: Search for Eden,1992-12-21,7.13,https://www.mobygames.com/game/10010/evo-search-for-eden/,SNES,"Action, Side view, 2D scrolling, RPG elements, Direct control, Prehistoric",Almanic Corp.,"Enix Corporation, Enix America Corporation"
